Fecha,Litros,Precio
2024-01-01,60.71,0.39
2024-01-02,60.69,0.39
2024-01-03,59.52,0.39
2024-01-04,59.98,0.39
2024-01-05,61.38,0.39
2024-01-06,60.32,0.39
2024-01-07,58.4,0.39
2024-01-08,58.27,0.39
2024-01-09,59.83,0.39
2024-01-10,58.77,0.39
2024-01-11,58.21,0.39
2024-01-12,59.27,0.39
2024-01-13,61.06,0.39
2024-01-14,60.14,0.39
2024-01-15,61.51,0.39
2024-01-16,59.11,0.39
2024-01-17,60.78,0.39
2024-01-18,61.02,0.39
2024-01-19,59.87,0.39
2024-01-20,61.17,0.39
2024-01-21,61.07,0.39
2024-01-22,59.53,0.39
2024-01-23,58.36,0.39
2024-01-24,58.74,0.39
2024-01-25,61.84,0.39
2024-01-26,58.07,0.39
2024-01-27,59.59,0.39
2024-01-28,59.37,0.39
2024-01-29,60.89,0.39
2024-01-30,60.22,0.39
2024-01-31,61.12,0.39
2024-02-01,60.12,0.39
2024-02-02,60.94,0.39
2024-02-03,60.78,0.39
2024-02-04,61.69,0.39
2024-02-05,59.3,0.39
2024-02-06,60.31,0.39
2024-02-07,61.59,0.39
2024-02-08,60.1,0.39
2024-02-09,60.94,0.39
2024-02-10,58.57,0.39
2024-02-11,61.27,0.39
2024-02-12,60.02,0.39
2024-02-13,61.8,0.39
2024-02-14,61.66,0.39
2024-02-15,58.63,0.39
2024-02-16,60.38,0.39
2024-02-17,60.21,0.39
2024-02-18,58.51,0.39
2024-02-19,61.87,0.39
2024-02-20,60.38,0.39
2024-02-21,58.73,0.39
2024-02-22,59.4,0.39
2024-02-23,58.48,0.39
2024-02-24,59.27,0.39
2024-02-25,61.44,0.39
2024-02-26,60.14,0.39
2024-02-27,60.34,0.39
2024-02-28,59.74,0.39
2024-02-29,61.92,0.39
2024-03-01,61.82,0.39
2024-03-02,60.86,0.39
2024-03-03,58.58,0.39
2024-03-04,60.17,0.39
2024-03-05,59.91,0.39
2024-03-06,60.37,0.39
2024-03-07,59.62,0.39
2024-03-08,61.4,0.39
2024-03-09,58.76,0.39
2024-03-10,59.01,0.39
2024-03-11,61.11,0.39
2024-03-12,59.95,0.39
2024-03-13,58.89,0.39
2024-03-14,60.29,0.39
2024-03-15,58.78,0.39
2024-03-16,59.74,0.39
2024-03-17,58.39,0.39
2024-03-18,59.32,0.39
2024-03-19,59.65,0.39
2024-03-20,59.04,0.39
2024-03-21,60.19,0.39
2024-03-22,61.34,0.39
2024-03-23,60.7,0.39
2024-03-24,60.25,0.39
2024-03-25,59.94,0.39
2024-03-26,58.5,0.39
2024-03-27,61.39,0.39
2024-03-28,58.34,0.39
2024-03-29,59.52,0.39
2024-03-30,59.98,0.39
2024-03-31,58.49,0.39
2024-04-01,60.59,0.39
2024-04-02,58.27,0.39
2024-04-03,58.02,0.39
2024-04-04,59.25,0.39
2024-04-05,58.93,0.39
2024-04-06,61.77,0.39
2024-04-07,61.58,0.39
2024-04-08,60.95,0.39
2024-04-09,58.69,0.39
2024-04-10,58.35,0.39
2024-04-11,58.06,0.39
2024-04-12,59.53,0.39
2024-04-13,61.16,0.39
2024-04-14,61.45,0.39
2024-04-15,58.74,0.39
2024-04-16,59.46,0.39
2024-04-17,61.78,0.39
2024-04-18,61.21,0.39
2024-04-19,60.33,0.39
2024-04-20,58.4,0.39
2024-04-21,58.25,0.39
2024-04-22,58.85,0.39
2024-04-23,60.91,0.39
2024-04-24,60.52,0.39
2024-04-25,60.09,0.39
2024-04-26,58.89,0.39
2024-04-27,58.41,0.39
2024-04-28,60.33,0.39
2024-04-29,61.93,0.39
2024-04-30,61.84,0.39
2024-05-01,58.77,0.39
2024-05-02,58.24,0.39
2024-05-03,58.23,0.39
2024-05-04,61.57,0.39
2024-05-05,60.62,0.39
2024-05-06,60.87,0.39
2024-05-07,60.15,0.39
2024-05-08,59.61,0.39
2024-05-09,60.42,0.39
2024-05-10,59.72,0.39
2024-05-11,61.73,0.39
2024-05-12,59.71,0.39
2024-05-13,59.22,0.39
2024-05-14,58.81,0.39
2024-05-15,61.09,0.39
2024-05-16,60.7,0.39
2024-05-17,60.02,0.39
2024-05-18,60.56,0.39
2024-05-19,58.26,0.39
2024-05-20,58.51,0.39
2024-05-21,59.03,0.39
2024-05-22,59.7,0.39
2024-05-23,61.23,0.39
2024-05-24,61.42,0.39
2024-05-25,58.47,0.39
2024-05-26,60.34,0.39
2024-05-27,60.05,0.39
2024-05-28,59.48,0.39
2024-05-29,61.24,0.39
2024-05-30,59.8,0.39
2024-05-31,58.5,0.39
2024-06-01,80.65,0.42
2024-06-02,80.98,0.42
2024-06-03,81.99,0.42
2024-06-04,79.53,0.42
2024-06-05,80.45,0.42
2024-06-06,78.2,0.42
2024-06-07,79.24,0.42
2024-06-08,78.7,0.42
2024-06-09,78.03,0.42
2024-06-10,79.44,0.42
2024-06-11,79.6,0.42
2024-06-12,80.72,0.42
2024-06-13,78.58,0.42
2024-06-14,80.69,0.42
2024-06-15,81.68,0.42
2024-06-16,81.06,0.42
2024-06-17,79.63,0.42
2024-06-18,78.75,0.42
2024-06-19,81.46,0.42
2024-06-20,79.19,0.42
2024-06-21,80.14,0.42
2024-06-22,79.62,0.42
2024-06-23,79.18,0.42
2024-06-24,79.54,0.42
2024-06-25,80.55,0.42
2024-06-26,79.59,0.42
2024-06-27,81.82,0.42
2024-06-28,81.52,0.42
2024-06-29,79.23,0.42
2024-06-30,81.39,0.42
2024-07-01,78.23,0.42
2024-07-02,79.82,0.42
2024-07-03,81.7,0.42
2024-07-04,78.13,0.42
2024-07-05,78.68,0.42
2024-07-06,78.68,0.42
2024-07-07,79.36,0.42
2024-07-08,79.38,0.42
2024-07-09,78.66,0.42
2024-07-10,79.66,0.42
2024-07-11,78.42,0.42
2024-07-12,81.72,0.42
2024-07-13,81.07,0.42
2024-07-14,80.97,0.42
2024-07-15,80.59,0.42
2024-07-16,81.64,0.42
2024-07-17,80.79,0.42
2024-07-18,78.11,0.42
2024-07-19,81.09,0.42
2024-07-20,79.6,0.42
2024-07-21,81.37,0.42
2024-07-22,78.96,0.42
2024-07-23,80.59,0.42
2024-07-24,78.4,0.42
2024-07-25,80.39,0.42
2024-07-26,80.45,0.42
2024-07-27,79.32,0.42
2024-07-28,79.49,0.42
2024-07-29,80.11,0.42
2024-07-30,81.78,0.42
2024-07-31,79.0,0.42
2024-08-01,79.98,0.42
2024-08-02,78.97,0.42
2024-08-03,78.18,0.42
2024-08-04,78.63,0.42
2024-08-05,79.1,0.42
2024-08-06,80.87,0.42
2024-08-07,80.71,0.42
2024-08-08,81.9,0.42
2024-08-09,79.6,0.42
2024-08-10,81.65,0.42
2024-08-11,81.07,0.42
2024-08-12,79.4,0.42
2024-08-13,79.44,0.42
2024-08-14,80.59,0.42
2024-08-15,78.39,0.42
2024-08-16,81.37,0.42
2024-08-17,81.4,0.42
2024-08-18,81.56,0.42
2024-08-19,78.62,0.42
2024-08-20,81.89,0.42
2024-08-21,81.47,0.42
2024-08-22,81.92,0.42
2024-08-23,81.22,0.42
2024-08-24,81.6,0.42
2024-08-25,80.91,0.42
2024-08-26,79.04,0.42
2024-08-27,81.9,0.42
2024-08-28,79.22,0.42
2024-08-29,79.06,0.42
2024-08-30,79.45,0.42
2024-08-31,80.91,0.42
2024-09-01,79.65,0.42
2024-09-02,80.85,0.42
2024-09-03,78.22,0.42
2024-09-04,81.6,0.42
2024-09-05,80.78,0.42
2024-09-06,81.33,0.42
2024-09-07,81.07,0.42
2024-09-08,78.99,0.42
2024-09-09,79.92,0.42
2024-09-10,79.59,0.42
2024-09-11,78.37,0.42
2024-09-12,80.21,0.42
2024-09-13,79.79,0.42
2024-09-14,78.06,0.42
2024-09-15,80.91,0.42
2024-09-16,79.98,0.42
2024-09-17,78.23,0.42
2024-09-18,79.73,0.42
2024-09-19,79.78,0.42
2024-09-20,79.25,0.42
2024-09-21,80.76,0.42
2024-09-22,81.46,0.42
2024-09-23,78.02,0.42
2024-09-24,81.23,0.42
2024-09-25,78.37,0.42
2024-09-26,80.75,0.42
2024-09-27,78.07,0.42
2024-09-28,79.31,0.42
2024-09-29,80.12,0.42
2024-09-30,79.39,0.42
2024-10-01,78.51,0.42
2024-10-02,80.53,0.42
2024-10-03,80.4,0.42
2024-10-04,81.93,0.42
2024-10-05,80.69,0.42
2024-10-06,79.3,0.42
2024-10-07,78.08,0.42
2024-10-08,78.43,0.42
2024-10-09,80.84,0.42
2024-10-10,81.32,0.42
2024-10-11,79.32,0.42
2024-10-12,79.61,0.42
2024-10-13,81.88,0.42
2024-10-14,81.79,0.42
2024-10-15,79.84,0.42
2024-10-16,79.26,0.42
2024-10-17,79.43,0.42
2024-10-18,81.03,0.42
2024-10-19,80.73,0.42
2024-10-20,79.98,0.42
2024-10-21,81.41,0.42
2024-10-22,79.45,0.42
2024-10-23,80.94,0.42
2024-10-24,79.39,0.42
2024-10-25,79.81,0.42
2024-10-26,79.93,0.42
2024-10-27,79.78,0.42
2024-10-28,78.87,0.42
2024-10-29,79.32,0.42
2024-10-30,80.03,0.42
2024-10-31,81.61,0.42
2024-11-01,68.09,0.41
2024-11-02,70.95,0.41
2024-11-03,70.98,0.41
2024-11-04,71.79,0.41
2024-11-05,68.77,0.41
2024-11-06,71.46,0.41
2024-11-07,71.56,0.41
2024-11-08,68.16,0.41
2024-11-09,71.03,0.41
2024-11-10,68.57,0.41
2024-11-11,71.8,0.41
2024-11-12,69.3,0.41
2024-11-13,70.54,0.41
2024-11-14,69.65,0.41
2024-11-15,68.78,0.41
2024-11-16,68.87,0.41
2024-11-17,68.73,0.41
2024-11-18,71.85,0.41
2024-11-19,69.64,0.41
2024-11-20,71.61,0.41
2024-11-21,71.06,0.41
2024-11-22,71.06,0.41
2024-11-23,71.6,0.41
2024-11-24,69.59,0.41
2024-11-25,68.87,0.41
2024-11-26,68.02,0.41
2024-11-27,71.91,0.41
2024-11-28,68.65,0.41
2024-11-29,70.27,0.41
2024-11-30,69.61,0.41
2024-12-01,70.83,0.41
2024-12-02,68.22,0.41
2024-12-03,69.78,0.41
2024-12-04,70.53,0.41
2024-12-05,69.96,0.41
2024-12-06,68.16,0.41
2024-12-07,69.51,0.41
2024-12-08,70.4,0.41
2024-12-09,68.16,0.41
2024-12-10,70.06,0.41
2024-12-11,69.5,0.41
2024-12-12,71.35,0.41
2024-12-13,69.18,0.41
2024-12-14,69.39,0.41
2024-12-15,69.98,0.41
2024-12-16,70.36,0.41
2024-12-17,71.73,0.41
2024-12-18,69.34,0.41
2024-12-19,70.07,0.41
2024-12-20,69.1,0.41
2024-12-21,68.19,0.41
2024-12-22,70.32,0.41
2024-12-23,70.39,0.41
2024-12-24,71.04,0.41
2024-12-25,68.97,0.41
2024-12-26,70.9,0.41
2024-12-27,70.54,0.41
2024-12-28,69.24,0.41
2024-12-29,69.91,0.41
2024-12-30,69.17,0.41
2024-12-31,70.82,0.41
2025-01-01,61.58,0.39
2025-01-02,60.76,0.39
2025-01-03,59.0,0.39
2025-01-04,60.14,0.39
2025-01-05,60.54,0.39
2025-01-06,61.35,0.39
2025-01-07,58.95,0.39
2025-01-08,59.04,0.39
2025-01-09,61.06,0.39
2025-01-10,61.25,0.39
2025-01-11,61.38,0.39
2025-01-12,58.09,0.39
2025-01-13,58.94,0.39
2025-01-14,61.53,0.39
2025-01-15,58.34,0.39
2025-01-16,61.77,0.39
2025-01-17,59.67,0.39
2025-01-18,61.83,0.39
2025-01-19,60.9,0.39
2025-01-20,60.94,0.39
2025-01-21,58.18,0.39
2025-01-22,59.28,0.39
2025-01-23,60.38,0.39
2025-01-24,61.66,0.39
2025-01-25,59.88,0.39
2025-01-26,60.26,0.39
2025-01-27,58.01,0.39
2025-01-28,58.56,0.39
2025-01-29,58.01,0.39
2025-01-30,58.29,0.39
2025-01-31,59.35,0.39
2025-02-01,59.3,0.39
2025-02-02,61.98,0.39
2025-02-03,59.79,0.39
2025-02-04,60.62,0.39
2025-02-05,59.19,0.39
2025-02-06,58.23,0.39
2025-02-07,60.45,0.39
2025-02-08,58.47,0.39
2025-02-09,61.96,0.39
2025-02-10,59.82,0.39
2025-02-11,58.09,0.39
2025-02-12,59.64,0.39
2025-02-13,58.34,0.39
2025-02-14,60.14,0.39
2025-02-15,58.97,0.39
2025-02-16,58.77,0.39
2025-02-17,60.56,0.39
